#crosssection1 uncertainty1 Q21 XXXX1 x1 z1 pt1 crosssection2 uncertainty2 Q22 XXXX2 x2 z2 pt2 crosssection3 uncertainty3 Q23 XXXX3 x3 z3 pt3  
-999.000000 -999.000000 -999.000000 4.916442 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.027594 -999.000000 -999.000000 -999.000000 135910.730744 1210.885129 5.355417 2.614277 0.015683 0.036469 0.694886 
-999.000000 -999.000000 -999.000000 3.076911 -999.000000 -999.000000 -999.000000 12460.461503 2169.087930 8.829204 3.419852 0.011432 0.080497 0.036744 558077.639417 14516.349133 5.397568 3.019635 0.016075 0.068700 0.033011 
-999.000000 -999.000000 -999.000000 3.022964 -999.000000 -999.000000 -999.000000 48583.213535 2472.820460 8.296223 2.897696 0.011543 0.082716 0.134803 1907079.926126 15492.942675 5.284355 2.832050 0.015894 0.070126 0.136375 
-999.000000 -999.000000 -999.000000 3.336043 -999.000000 -999.000000 -999.000000 32535.649479 1430.916228 8.258695 2.802759 0.011824 0.085858 0.300515 2095748.934129 11484.288546 5.336521 2.747441 0.015868 0.071845 0.332264 
-999.000000 -999.000000 -999.000000 3.952824 -999.000000 -999.000000 -999.000000 75.517949 20.183021 9.110386 2.880523 0.011242 0.093382 0.561938 79698.406364 655.670875 5.393050 2.664575 0.015800 0.072822 0.706914 
-999.000000 -999.000000 -999.000000 2.766830 -999.000000 -999.000000 -999.000000 8810.427325 744.617014 7.515033 2.896608 0.011721 0.195108 0.033872 57519.504108 1902.576093 5.020759 3.387041 0.016625 0.177230 0.033133 
-999.000000 -999.000000 -999.000000 2.765192 -999.000000 -999.000000 -999.000000 45646.404427 978.536722 6.874679 2.874117 0.012163 0.200319 0.140472 264333.796959 2354.779187 5.079883 3.218678 0.016621 0.179436 0.136979 
230.749287 49.195913 7.348766 2.931119 0.011197 0.163822 0.414497 82020.882954 927.515260 6.330977 2.805586 0.013550 0.221747 0.342478 396909.750992 2040.350260 5.128076 2.975437 0.016314 0.184271 0.343941 
53.042369 6.905528 7.614273 3.265588 0.013121 0.272939 0.716796 2964.978502 51.629298 6.551272 2.856070 0.014631 0.264505 0.666934 23780.961592 146.217769 5.299682 2.817809 0.016065 0.199606 0.746929 
-999.000000 -999.000000 -999.000000 2.387055 -999.000000 -999.000000 -999.000000 802.378203 194.605299 6.496429 2.493551 0.011920 0.545120 0.035578 3964.692296 432.583394 4.712647 4.174230 0.016218 0.512930 0.031822 
-999.000000 -999.000000 -999.000000 2.464376 -999.000000 -999.000000 -999.000000 4373.747851 262.319964 6.547670 2.602309 0.011958 0.521498 0.140673 16865.675165 515.117541 4.848091 3.930627 0.016716 0.523496 0.138366 
-999.000000 -999.000000 -999.000000 2.517022 -999.000000 -999.000000 -999.000000 10116.258518 282.097628 5.655788 2.648417 0.012496 0.513003 0.363378 30435.306536 489.303492 5.015590 3.618899 0.017048 0.521668 0.354246 
